"start_month","Theater of Operations","ct"
1939-09-01,"Euro",7
1939-10-01,"Euro",4
1939-11-01,"Euro",5
1939-12-01,"Euro",14
1940-05-01,"Euro",28
1940-06-01,"Africa",1
1940-06-01,"Euro",25
1940-06-01,"Mediterranean",18
1940-07-01,"Africa",3
1940-07-01,"Euro",441
1940-07-01,"Mediterranean",11
1940-08-01,"Africa",3
1940-08-01,"Euro",1033
1940-08-01,"Mediterranean",44
1940-09-01,"Africa",1
1940-09-01,"Euro",801
1940-09-01,"Mediterranean",3
1940-10-01,"Euro",1121
1940-10-01,"Mediterranean",20
1940-11-01,"Euro",962
1940-11-01,"Mediterranean",16
1940-12-01,"Africa",1
1940-12-01,"Euro",571
1940-12-01,"Mediterranean",26
1941-01-01,"Euro",180
1941-01-01,"Mediterranean",32
1941-02-01,"Euro",518
1941-02-01,"Mediterranean",31
1941-03-01,"Africa",1
1941-03-01,"Euro",445
1941-03-01,"Mediterranean",29
1941-04-01,"Euro",528
1941-04-01,"Mediterranean",106
1941-05-01,"Africa",1
1941-05-01,"Euro",354
1941-05-01,"Mediterranean",58
1941-06-01,"Euro",1049
1941-06-01,"Mediterranean",4
1941-07-01,"Euro",760
1941-07-01,"Mediterranean",3
1941-08-01,"Africa",1
1941-08-01,"Euro",1030
1941-08-01,"Mediterranean",7
1941-09-01,"Africa",1
1941-09-01,"Euro",661
1941-09-01,"Mediterranean",39
1941-10-01,"Euro",911
1941-10-01,"Mediterranean",5
1941-11-01,"Africa",4
1941-11-01,"Euro",160
1941-11-01,"Mediterranean",10
1941-12-01,"Africa",8
1941-12-01,"Euro",165
1941-12-01,"Mediterranean",13
1941-12-01,"Pacific",15
1942-01-01,"Africa",7
1942-01-01,"Euro",270
1942-01-01,"Mediterranean",33
1942-01-01,"Pacific",24
1942-02-01,"Africa",2
1942-02-01,"Euro",189
1942-02-01,"Mediterranean",18
1942-02-01,"Pacific",64
1942-03-01,"Africa",11
1942-03-01,"Euro",207
1942-03-01,"Mediterranean",26
1942-03-01,"Pacific",11
1942-04-01,"Africa",4
1942-04-01,"Euro",398
1942-04-01,"Mediterranean",14
1942-04-01,"Pacific",92
1942-05-01,"Africa",2
1942-05-01,"Euro",79
1942-05-01,"Mediterranean",15
1942-05-01,"Pacific",87
1942-06-01,"Africa",9
1942-06-01,"Euro",251
1942-06-01,"Mediterranean",37
1942-06-01,"Pacific",52
1942-07-01,"Africa",9
1942-07-01,"Euro",335
1942-07-01,"Mediterranean",46
1942-07-01,"Pacific",91
1942-08-01,"Africa",3
1942-08-01,"Euro",226
1942-08-01,"Mediterranean",31
1942-08-01,"Pacific",81
1942-09-01,"Euro",147
1942-09-01,"Mediterranean",22
1942-09-01,"Pacific",97
1942-10-01,"Africa",2
1942-10-01,"Euro",105
1942-10-01,"Mediterranean",112
1942-10-01,"Pacific",100
1942-11-01,"Euro",58
1942-11-01,"Mediterranean",60
1942-11-01,"Pacific",267
1942-12-01,"Euro",123
1942-12-01,"Mediterranean",129
1942-12-01,"Pacific",225
1943-01-01,"Euro",254
1943-01-01,"Mediterranean",280
1943-01-01,"Pacific",68
1943-02-01,"Africa",1
1943-02-01,"Euro",281
1943-02-01,"Mediterranean",231
1943-02-01,"Pacific",163
1943-03-01,"Euro",306
1943-03-01,"Mediterranean",327
1943-03-01,"Pacific",202
1943-04-01,"Africa",1
1943-04-01,"Euro",247
1943-04-01,"Mediterranean",784
1943-04-01,"Pacific",185
1943-05-01,"Euro",668
1943-05-01,"Mediterranean",627
1943-05-01,"Pacific",237
1943-06-01,"Euro",733
1943-06-01,"Mediterranean",502
1943-06-01,"Pacific",265
1943-07-01,"Euro",560
1943-07-01,"Mediterranean",981
1943-07-01,"Pacific",421
1943-08-01,"Euro",587
1943-08-01,"Mediterranean",897
1943-08-01,"Pacific",409
1943-09-01,"Africa",3
1943-09-01,"Euro",371
1943-09-01,"Mediterranean",894
1943-09-01,"Pacific",314
1943-10-01,"Africa",10
1943-10-01,"Euro",217
1943-10-01,"Mediterranean",363
1943-10-01,"Pacific",385
1943-11-01,"Africa",5
1943-11-01,"Euro",504
1943-11-01,"Mediterranean",389
1943-11-01,"Pacific",524
1943-12-01,"Euro",771
1943-12-01,"Mediterranean",307
1943-12-01,"Pacific",854
1944-01-01,"Euro",776
1944-01-01,"Mediterranean",708
1944-01-01,"Pacific",681
1944-02-01,"Euro",1155
1944-02-01,"Mediterranean",435
1944-02-01,"Pacific",812
1944-03-01,"Euro",1415
1944-03-01,"Mediterranean",536
1944-03-01,"Pacific",1119
1944-04-01,"Euro",2481
1944-04-01,"Mediterranean",579
1944-04-01,"Pacific",1346
1944-05-01,"Africa",1
1944-05-01,"Euro",2691
1944-05-01,"Mediterranean",1039
1944-05-01,"Pacific",1806
1944-06-01,"Euro",4230
1944-06-01,"Mediterranean",678
1944-06-01,"Pacific",1457
1944-07-01,"Euro",4124
1944-07-01,"Mediterranean",702
1944-07-01,"Pacific",1392
1944-08-01,"Euro",4148
1944-08-01,"Mediterranean",568
1944-08-01,"Pacific",1437
1944-09-01,"Africa",1
1944-09-01,"Euro",3435
1944-09-01,"Mediterranean",646
1944-09-01,"Pacific",1371
1944-10-01,"Euro",2476
1944-10-01,"Mediterranean",422
1944-10-01,"Pacific",1467
1944-11-01,"Euro",2665
1944-11-01,"Mediterranean",610
1944-11-01,"Pacific",1503
1944-12-01,"Euro",3860
1944-12-01,"Mediterranean",455
1944-12-01,"Pacific",1454
1945-01-01,"Euro",2466
1945-01-01,"Mediterranean",250
1945-01-01,"Pacific",1763
1945-02-01,"Euro",3444
1945-02-01,"Mediterranean",556
1945-02-01,"Pacific",1769
1945-03-01,"Euro",6114
1945-03-01,"Mediterranean",889
1945-03-01,"Pacific",2124
1945-04-01,"Euro",2884
1945-04-01,"Mediterranean",5246
1945-04-01,"Pacific",2282
1945-05-01,"Euro",1
1945-05-01,"Pacific",2120
1945-06-01,"Pacific",1850
1945-07-01,"Pacific",1314
1945-08-01,"Pacific",294
1945-09-01,"Pacific",1
1945-12-01,"Pacific",47
NA,"Africa",46
NA,"Euro",27802
NA,"Mediterranean",8613
NA,"Pacific",13954
1939-09-01,"Total",7
1939-10-01,"Total",4
1939-11-01,"Total",5
1939-12-01,"Total",14
1940-05-01,"Total",28
1940-06-01,"Total",44
1940-07-01,"Total",455
1940-08-01,"Total",1080
1940-09-01,"Total",805
1940-10-01,"Total",1141
1940-11-01,"Total",978
1940-12-01,"Total",598
1941-01-01,"Total",212
1941-02-01,"Total",549
1941-03-01,"Total",475
1941-04-01,"Total",634
1941-05-01,"Total",413
1941-06-01,"Total",1053
1941-07-01,"Total",763
1941-08-01,"Total",1038
1941-09-01,"Total",701
1941-10-01,"Total",916
1941-11-01,"Total",174
1941-12-01,"Total",201
1942-01-01,"Total",334
1942-02-01,"Total",273
1942-03-01,"Total",255
1942-04-01,"Total",508
1942-05-01,"Total",183
1942-06-01,"Total",349
1942-07-01,"Total",481
1942-08-01,"Total",341
1942-09-01,"Total",266
1942-10-01,"Total",319
1942-11-01,"Total",385
1942-12-01,"Total",477
1943-01-01,"Total",602
1943-02-01,"Total",676
1943-03-01,"Total",835
1943-04-01,"Total",1217
1943-05-01,"Total",1532
1943-06-01,"Total",1500
1943-07-01,"Total",1962
1943-08-01,"Total",1893
1943-09-01,"Total",1582
1943-10-01,"Total",975
1943-11-01,"Total",1422
1943-12-01,"Total",1932
1944-01-01,"Total",2165
1944-02-01,"Total",2402
1944-03-01,"Total",3070
1944-04-01,"Total",4406
1944-05-01,"Total",5537
1944-06-01,"Total",6365
1944-07-01,"Total",6218
1944-08-01,"Total",6153
1944-09-01,"Total",5453
1944-10-01,"Total",4365
1944-11-01,"Total",4778
1944-12-01,"Total",5769
1945-01-01,"Total",4479
1945-02-01,"Total",5769
1945-03-01,"Total",9127
1945-04-01,"Total",10412
1945-05-01,"Total",2121
1945-06-01,"Total",1850
1945-07-01,"Total",1314
1945-08-01,"Total",294
1945-09-01,"Total",1
1945-12-01,"Total",47
NA,"Total",50415
